employee_id,full_name,gender,birth_date,hire_date,termination_date,employment_status_current,dept_code,job_code,band,position_code,is_manager,manager_employee_id,location_code,job_group_code,case_study_tag
E000016,Vũ Quang,M,1998-09-16,2017-10-01,,Active,01QT000023,FA007S,Band 4,1QT00077,0,E001678,HSC01,BO,
E000017,Trần Quang,M,1980-03-03,2018-10-01,,Active,01CN000072,MJ028S,Band 3,1CN00976,0,,HNO65,BO,
E000018,Đặng Chi,F,1980-05-27,2019-09-01,,Active,01CN000080,MJ043S,Band 4,1CN00461,0,E001610,HNO02,RM,
E000019,Đặng Thành,F,1973-07-09,2014-01-01,2022-10-01,Terminated,01CN000031,MJ044S,Band 3,1CN00040,0,E000868,BRV04,RM,
E000020,Hoàng Quang,M,1971-03-01,2020-03-01,,Active,01CN000038,M00109,Band 3,1CN00030,0,E001262,KHO01,RM,
E000021,Phạm Phương,F,1977-07-12,2020-08-01,,Active,01CN000020,M00107,Band 4,1CN00871,0,E000674,HPH01,RM,
E000022,Bùi Nhật,F,1973-01-07,2019-12-01,2021-07-01,Terminated,01CN000074,M00108,Band 4,1CN00808,0,E001103,HCM40,RM,
E000023,Đặng Hải,F,1974-07-28,2017-05-01,,Active,01CN000061,MJ043S,Band 4,1CN00226,0,E001424,HCM29,RM,
E000024,Nguyễn Quang,M,2002-07-15,2020-01-01,,Active,01CN000031,MJ044S,Band 3,1CN00040,0,E000880,BRV04,RM,
E000025,Trần Kim Đức,M,1974-05-28,2020-05-01,,Active,01CN000022,M00108,Band 4,1CN01271,0,E001381,CTH01,RM,
E000026,Đặng Khoa,F,1979-03-02,2019-11-01,2021-08-01,Terminated,01CN000041,MJ011M,Band 5,1CN00245,1,E000727,HNO17,TL,
E000027,Dương Hải,F,1977-05-08,2017-02-01,,Active,01CN000038,MJ010S,Band 4,1CN00557,0,E001262,KHO01,BO,
E000028,Vũ Quý cô Lan,F,1977-06-14,2015-01-01,,Active,01CN000050,MK091S,Band 3,1CN00811,0,,HNO01,ARM,
E000029,Mai Lâm,F,2001-04-04,2019-04-01,,Active,01CN000023,MJ008C,Band 2,1CN00812,0,E001368,DAN01,BO,
E000030,Hoàng Nhật Bảo,M,2002-11-06,2018-02-01,,Active,01CN000080,MJ008C,Band 2,1CN00569,0,E000879,HNO02,BO,
E000031,Lê Quang,M,1988-08-20,2018-05-01,,Active,01CN000057,MK012S,Band 4,1CN01382,0,E000703,HCM01,ARM,
E000032,Nguyễn Vi,F,1980-09-21,2017-03-01,,Active,01CN000023,MJ028S,Band 3,1CN01168,0,E000707,DAN01,BO,
E000033,Lê Lan,F,1978-02-20,2020-02-01,,Active,01CN000027,MJ011S,Band 4,1CN01113,0,E001029,HPH07,BO,
E000034,Bùi Hồng,F,2002-06-03,2017-12-01,2021-07-01,Terminated,01CN000057,MJ017E,Band 4,1CN00726,0,E001385,HNO01,RM,
E000035,Nguyễn Tùng,M,1986-11-12,2019-11-01,,Active,01CN000003,MJ028S,Band 3,1CN00338,0,E001800,DAN03,BO,
E000036,Mai Dương,F,1996-03-25,2012-11-01,,Active,01CN000015,MK089S,Band 3,1CN00706,0,E001464,HSC01,BO,
E000037,Trần Hải Tấn,M,1997-09-16,2020-01-01,,Active,01CN000061,MJ011S,Band 4,1CN00477,0,E001673,HCM29,BO,
E000038,Dương Quý cô Bảo,F,1972-10-28,2020-05-01,2024-10-01,Terminated,01CN000054,MJ163S,Band 4,1CN00760,0,E001757,HNO01,RM,
E000039,Mai Anh,M,2002-12-22,2020-01-01,,Active,01CN000053,MJ162E,Band 5,1CN00866,0,E000619,HCM01,RM,
E000040,Trần Phương,F,1973-02-14,2020-10-01,,Active,01CN000041,MJ011M,Band 4,1CN00134,0,E000899,HNO17,TL,
E000041,Lê Hải Hoàng,M,1978-05-01,2018-02-01,,Active,01CN000041,MJ029S,Band 4,1CN01358,0,E000026,HNO17,RM,
E000042,Mai Phương,F,1991-07-04,2017-12-01,,Active,01CN000057,MJ029E,Band 5,1CN01277,0,E000301,HCM01,RM,
E000043,Đặng Duyên,F,1994-10-13,2018-10-01,,Active,01CN000031,MJ010S,Band 4,1CN00691,0,E001427,BRV04,BO,
E000044,Đặng Tú,M,1989-01-15,2015-09-01,,Active,01CN000068,MK091S,Band 3,1CN00838,0,E001317,HSC01,ARM,
E000045,Phạm Lâm Thị,M,2001-05-11,2019-07-01,2022-04-01,Terminated,01CN000041,MJ044S,Band 3,1CN01280,0,E000218,HNO17,RM,
E000046,Dương Hương,F,1980-05-03,2020-08-01,2022-01-01,Terminated,01CN000031,M00107,Band 4,1CN00807,0,E001427,BRV04,RM,
E000047,Lê Tùng,M,1991-02-28,2017-08-01,,Active,01CN000057,MK113S,Band 3,1CN00716,0,E000303,HNO01,ARM,
E000048,Vũ Châu Xuân,M,1971-10-03,2016-09-01,,Active,01CN000019,BA013M,Band 6,1CN01245,1,E001851,HNO39,HH,
E000049,Phạm Tùng,M,2002-01-02,2017-09-01,,Active,01CN000044,MK061C,Band 2,1CN00016,0,E000289,QNI01,ARM,
E000050,Đặng Quý cô Hải,F,1999-12-03,2015-06-01,,Active,01CN000057,MJ017E,Band 4,1CN00456,0,E000329,HCM01,RM,
E000051,Phạm Quý ông Tú,M,1975-06-04,2014-01-01,,Active,01CN000061,MJ044S,Band 3,1CN00788,0,E001701,HCM29,RM,
E000052,Đặng Hà,F,1971-12-23,2016-02-01,2025-05-01,Terminated,01CN000010,MJ028S,Band 3,1CN00567,0,E000101,TDU01,BO,
E000053,Mai Nhiên,M,1981-10-11,2016-08-01,2022-11-01,Terminated,01CN000070,MJ028S,Band 3,1CN00037,0,E000664,BNI01,BO,
E000054,Phạm Khoa,F,1992-09-13,2014-07-01,,Active,01CN000022,MJ043S,Band 4,1CN00046,0,E000389,CTH01,RM,
E000055,Nguyễn Vũ,M,1979-12-22,2020-04-01,,Active,01CN000079,MJ011M,Band 5,1CN00306,1,E001282,BDU01,TL,
E000056,Nguyễn Hà,F,1972-03-09,2017-11-01,,Active,01CN000020,MJ028S,Band 3,1CN01167,0,E000674,HPH01,BO,
E000057,Phạm Phương,F,1971-07-02,2015-09-01,,Active,01CN000006,M00109,Band 3,1CN00868,0,E001586,HNO52,RM,
E000058,Mai Quý cô Lâm,F,1984-11-18,2018-06-01,,Active,01CN000020,BA013M,Band 6,1CN00199,1,E000674,HPH01,HH,
E000059,Phạm Nhiên Mai Bảo,M,1982-12-12,2019-02-01,2021-07-01,Terminated,01CN000057,MJ029E,Band 5,1CN00828,0,E001361,HNO01,RM,
E000060,Trần Quý cô Mai,F,2002-10-10,2019-12-01,,Active,01CN000041,M00110,Band 2,1CN00381,0,E000026,HNO17,RM,
E000061,Bùi Dương,F,1985-01-01,2020-05-01,,Active,01CN000072,MJ043S,Band 4,1CN00603,0,,HNO65,RM,
E000062,Dương Quý cô Kim,F,1970-12-28,2020-11-01,2024-10-01,Terminated,01CN000074,M00107,Band 4,1CN00497,0,E000331,HCM40,RM,
E000063,Trần Dương,F,1973-04-28,2019-03-01,,Active,01CN000009,MJ161E,Band 5,1CN00964,0,E001256,HCM01,RM,
E000064,Đặng Hồng,F,1990-12-24,2020-08-01,,Active,01CN000057,MJ017E,Band 4,1CN00456,0,E000303,HCM01,RM,
E000065,Phạm Mai,F,1982-12-07,2013-10-01,,Active,01CN000010,MJ043S,Band 4,1CN01085,0,E000101,TDU01,RM,
E000066,Lê Tùng Mai,M,1990-09-03,2020-11-01,2021-06-01,Terminated,01QT000010,M00388,Band 2,1QT00088,0,E000264,HSC01,BO,
E000067,Dương Thảo,F,1974-12-22,2015-09-01,2025-02-01,Terminated,01QT000023,M00065,Band 5,1QT00120,0,E001678,HSC01,BO,
E000068,Dương Hà,F,1983-07-21,2019-12-01,,Active,01CN000068,MJ162E,Band 5,1CN00721,0,E000689,HSC01,RM,
E000069,Mai Ngọc,F,2000-11-25,2020-04-01,2021-11-01,Terminated,01CN000033,BA013M,Band 6,1CN01062,1,E001658,HNO01,HH,
E000070,Phạm Vũ,M,1998-03-06,2017-08-01,2024-05-01,Terminated,01CN000041,AA052C,K,1CN01116,0,E000218,HNO17,BO,
E000071,Dương Huy Mai Bảo,M,1979-03-06,2018-11-01,,Active,01CN000071,MJ163S,Band 4,1CN00724,0,E001720,HNO01,RM,
E000072,Nguyễn Kim,F,2003-07-12,2015-10-01,2022-09-01,Terminated,01QT000010,M00387,Band 3,1QT00176,0,E000264,HSC01,BO,
E000073,Bùi Thành Văn,M,1990-07-12,2018-11-01,,Active,01CN000008,MJ036M,Band 6,1CN00762,1,E001338,HCM29,HH,
E000074,Bùi Nhật Thế,M,1980-02-09,2019-09-01,,Active,01CN000012,MJ011M,Band 5,1CN00382,1,E000108,HNO59,TL,
E000075,Vũ Trung,M,1985-12-08,2013-10-01,,Active,01CN000023,MJ043S,Band 4,1CN00385,0,E000707,DAN01,RM,
E000076,Đặng Hưng Thị,M,2000-01-06,2020-05-01,,Active,01QT000009,FC007M,Band 6,1QT00052,1,E000227,HSC01,BO,
E000077,Hoàng Hưng,M,1983-03-13,2012-07-01,2024-10-01,Terminated,01CN000010,M00108,Band 4,1CN00943,0,E000559,TDU01,RM,
E000078,Mai Ngọc,F,2000-05-01,2019-02-01,,Active,01CN000057,MK012S,Band 4,1CN00495,0,E000329,HNO01,ARM,
E000079,Trần Phúc,M,1999-12-25,2017-01-01,,Active,01CN000058,MJ012M,Band 8,1CN00683,1,E000258,HSC01,BO,
E000080,Bùi Quang,M,1974-09-05,2018-04-01,,Active,01QT000022,VE002E,Band 5,1QT00182,0,E000180,HSC01,BO,
E000081,Phạm Nhiên,M,1996-12-04,2017-10-01,2023-07-01,Terminated,01CN000073,MJ028S,Band 3,1CN01141,0,E001729,HNO34,BO,
E000082,Trần Duyên,F,1984-04-28,2014-05-01,,Active,01CN000057,MJ017E,Band 4,1CN00253,0,E000248,HNO01,RM,
E000083,Phạm Anh,M,1995-09-14,2018-08-01,,Active,01CN000034,M00108,Band 4,1CN00790,0,E001777,HNO11,RM,
E000084,Bùi Lâm Đức,M,1994-11-09,2017-11-01,,Active,01CN000057,MK012S,Band 4,1CN00495,0,E000098,HNO01,ARM,
E000085,Đặng Khoa Mai,M,1980-06-03,2013-11-01,,Active,01CN000019,BA013M,Band 6,1CN01245,1,E001851,HNO39,HH,
E000086,Dương Nam,M,1998-08-27,2016-05-01,,Active,01CN000022,MJ010S,Band 4,1CN00360,0,E001367,CTH01,BO,
E000087,Mai Vũ,M,1978-04-01,2020-01-01,2021-07-01,Terminated,01CN000028,MJ008M,Band 7,1CN01351,1,E001162,HNO01,BO,
E000088,Vũ Phương,F,1975-10-20,2019-02-01,2021-02-01,Terminated,01CN000057,MJ017E,Band 4,1CN00286,0,E001255,HNO01,RM,
E000089,Phạm Quang Quang,M,1981-03-02,2015-11-01,2025-11-01,Terminated,01CN000061,M00109,Band 3,1CN00448,0,E001829,HCM29,RM,
E000090,Dương Bảo,F,1983-01-21,2019-06-01,2021-08-01,Terminated,01CN000065,MJ026M,Band 6,1CN01205,1,E001717,HCM01,TL,
E000091,Mai Khoa Văn,M,1982-06-27,2018-03-01,,Active,01CN000004,MK059C,Band 2,1CN01337,0,E000906,HSC01,BO,
E000092,Lê Hải Đức,M,1999-07-23,2020-08-01,,Active,01CN000068,MJ163S,Band 4,1CN00237,0,E001317,HSC01,RM,
E000093,Mai Hà,F,2000-04-08,2017-12-01,,Active,01CN000033,AA052C,K,1CN00816,0,E000069,HNO01,BO,
E000094,Hoàng Thế,M,1998-09-10,2016-10-01,,Active,01CN000012,M00108,Band 4,1CN00354,0,E000793,HNO59,RM,
E000095,Đặng Nhật,F,1985-12-17,2018-04-01,,Active,01CN000022,MJ028S,Band 3,1CN00195,0,E000590,CTH01,BO,
E000096,Vũ Hải,F,1985-08-06,2019-08-01,,Active,01CN000038,MK061C,Band 2,1CN00653,0,E000484,KHO01,ARM,
E000097,Nguyễn Xuân,F,1982-01-01,2020-04-01,2025-08-01,Terminated,01CN000071,MK092C,Band 2,1CN01343,0,E001720,HNO01,ARM,
E000098,Bùi Dương,F,2000-07-13,2019-07-01,2021-06-01,Terminated,01CN000057,MM016D,Band 7,1CN00754,1,E001269,HNO01,HH,
E000099,Đặng An,F,1989-07-02,2018-07-01,,Active,01CN000084,MK003E,Band 5,1CN00566,0,E001799,HSC02,BO,
E000100,Dương Xuân,M,1974-04-14,2018-12-01,2023-05-01,Terminated,01QT000010,FC005C,Band 2,1QT00154,0,E001503,HSC01,BO,
E000101,Trần Hương,F,1978-04-05,2020-01-01,2021-07-01,Terminated,01CN000010,BA013M,Band 6,1CN00303,1,E000732,TDU01,HH,
E000102,Nguyễn Phương,F,1992-07-01,2018-01-01,,Active,01CN000019,MK015S,Band 3,1CN00854,0,E000048,HNO39,ARM,
E000103,Lê Kim,F,1984-05-20,2019-03-01,2025-10-01,Terminated,01CN000023,M00110,Band 2,1CN00832,0,E001284,DAN01,RM,
E000104,Đặng Thảo,F,1987-12-20,2018-10-01,,Active,01CN000048,MK091S,Band 3,1CN01296,0,E000682,HCM01,ARM,
E000105,Phạm Quang,M,2000-06-14,2010-07-01,2025-10-01,Terminated,01CN000073,MJ011S,Band 4,1CN00460,0,E000279,HNO34,BO,
E000106,Trần Hải,F,1979-10-24,2017-05-01,,Active,01CN000074,MJ029S,Band 4,1CN00151,0,E000345,HCM40,RM,
E000107,Hoàng Phương Bảo,M,1982-03-27,2018-08-01,2021-11-01,Terminated,01CN000057,M00390,Band 5,1CN00809,0,E001361,HSC01,BO,
E000108,Lê Lâm,F,1996-03-16,2019-02-01,,Active,01CN000012,BA013M,Band 6,1CN00154,1,E000793,HNO59,HH,
E000109,Nguyễn Kim,F,1974-02-27,2016-03-01,2025-12-01,Terminated,01CN000060,M00107,Band 4,1CN00359,0,E001447,HCM32,RM,
E000110,Đặng Nhật,F,1981-08-22,2015-04-01,,Active,01CN000040,MJ029S,Band 4,1CN00480,0,E000014,HCM17,RM,
E000111,Lê Thảo,F,1976-02-09,2020-01-01,,Active,01CN000084,MK046S,Band 4,1CN00476,0,E000364,HPH01,BO,
E000112,Nguyễn Hồng,F,1994-02-14,2016-09-01,,Active,01CN000025,M00159,Band 8,1CN01013,1,E000519,HSC02,BO,
E000113,Dương Trung,M,1971-11-23,2019-03-01,,Active,01CN000010,MJ011M,Band 4,1CN00900,0,E000870,TDU01,TL,
E000114,Phạm Hạnh Hải,M,2003-11-27,2018-07-01,2025-03-01,Terminated,01CN000061,MJ043S,Band 4,1CN00226,0,E000470,HCM29,RM,
E000115,Bùi Trung,M,1989-04-28,2019-12-01,,Active,01QT000013,FA001S,Band 4,1QT00145,0,E000898,HSC01,BO,
E000116,Vũ Hạnh Quang,M,1973-07-20,2020-05-01,,Active,01CN000010,M00109,Band 3,1CN00426,0,E000870,TDU01,RM,
E000117,Mai Quý cô Hải,F,1991-08-05,2020-02-01,2025-05-01,Terminated,01CN000040,MJ043S,Band 4,1CN00878,0,E001676,HCM17,RM,
E000118,Vũ An Đức,M,1991-01-10,2020-03-01,2022-03-01,Terminated,01CN000023,MJ043S,Band 4,1CN00385,0,E001368,DAN01,RM,
E000119,Nguyễn Nhiên Đức,M,1983-01-26,2019-11-01,,Active,01CN000037,M00107,Band 4,1CN00539,0,E001677,HCM01,RM,
E000120,Bùi Duyên,F,1986-10-03,2018-07-01,,Active,01CN000057,AA052C,K,1CN00296,0,E001269,HCM01,BO,
E000121,Bùi Nhật Tấn,M,1988-10-27,2019-04-01,2021-04-01,Terminated,01CN000086,M00169,Band 4,1CN00770,0,E000733,HSC01,BO,
E000122,Hoàng Hồng,F,1972-08-13,2015-05-01,,Active,01CN000042,MJ026M,Band 6,1CN01149,1,E001053,HNO01,TL,
E000123,Nguyễn Hạnh,F,1992-01-25,2020-04-01,,Active,01CN000022,M00107,Band 4,1CN00280,0,E001367,CTH01,RM,
E000124,Mai Vân,F,1973-07-25,2008-12-01,,Active,01CN000003,M00109,Band 3,1CN00349,0,E000431,DAN03,RM,
E000125,Trần Quang Bảo,M,1992-05-10,2020-03-01,,Active,01CN000041,MJ011M,Band 4,1CN00134,0,E000026,HNO17,TL,
E000126,Trần Khoa Tấn,M,1992-02-28,2017-01-01,,Active,01CN000028,MJ009M,Band 8,1CN00927,1,E000401,HNO01,HH,
E000127,Bùi Phương Thế,M,1988-03-06,2009-05-01,2025-03-01,Terminated,01CN000073,MJ011S,Band 4,1CN00460,0,E001850,HNO34,BO,
E000128,Mai Kim Thế,M,2000-05-20,2010-04-01,2023-12-01,Terminated,01CN000025,MM019D,Band 9,1CN00279,1,E001061,HSC01,BO,
E000129,Bùi Trung Bảo,M,1974-09-01,2019-01-01,2023-08-01,Terminated,01CN000076,AA052C,K,1CN01269,0,E000139,HCM04,BO,
E000130,Hoàng Khoa,F,1980-09-07,2020-01-01,2024-03-01,Terminated,01CN000061,MJ043S,Band 4,1CN00226,0,E001673,HCM29,RM,
E000131,Vũ Kim Văn,M,1997-02-08,2020-12-01,,Active,01CN000042,MJ161E,Band 5,1CN01127,0,E001615,HNO01,RM,
E000132,Hoàng Kim,F,1981-04-05,2019-09-01,2022-03-01,Terminated,01CN000072,MJ043S,Band 4,1CN00603,0,,HNO65,RM,
E000133,Dương Nhật Mai,M,1997-06-07,2018-12-01,2023-08-01,Terminated,01QT000005,FC014S,Band 3,1QT00007,0,E000370,HSC01,BO,
E000134,Dương Phương,F,1972-01-07,2019-04-01,,Active,01CN000039,M00165,Band 4,1CN00685,0,E001025,HSC01,BO,
E000135,Trần Hải,F,1972-04-08,2018-12-01,,Active,01CN000025,MM020D,Band 8,1CN00328,1,E001532,HSC01,BO,
E000136,Phạm Hà,F,1984-09-19,2017-03-01,,Active,01CN000024,MJ011M,Band 5,1CN00291,1,E000791,HNO49,TL,
E000137,Lê Lâm Hoàng,M,1978-09-14,2019-06-01,2022-05-01,Terminated,01CN000069,MK015S,Band 3,1CN01369,0,E000668,HCM41,ARM,
E000138,Phạm Ngọc,F,1999-08-19,2019-11-01,,Active,01CN000006,MJ028S,Band 3,1CN00170,0,E000495,HNO52,BO,
E000139,Bùi Chi,F,1977-09-24,2018-03-01,2022-09-01,Terminated,01CN000076,BA013M,Band 6,1CN00767,1,E001323,HCM04,HH,
E000140,Bùi Thành Mai Bảo,M,1975-01-14,2019-08-01,2021-02-01,Terminated,01CN000025,MM008C,Band 2,1CN00065,0,E000616,HSC02,BO,
E000141,Trần Hoàng Văn,M,1980-01-14,2016-04-01,,Active,01QT000023,FA027C,Band 2,1QT00111,0,E001678,HSC01,BO,
E000142,Mai Lan,F,1991-03-09,2017-12-01,,Active,01CN000044,M00109,Band 3,1CN00276,0,E001078,QNI01,RM,
E000143,Phạm Vân,F,1989-08-10,2020-06-01,,Active,01CN000008,MJ031S,Band 3,1CN01129,0,E001550,HCM29,RM,
E000144,Lê Chi,F,1989-12-14,2010-09-01,2022-01-01,Terminated,01CN000012,MJ008C,Band 2,1CN01353,0,E000793,HNO59,BO,
E000145,Dương Vi,F,1997-03-06,2019-06-01,2023-06-01,Terminated,01CN000085,M00107,Band 4,1CN00122,0,E001151,HNO44,RM,
E000146,Lê Quý cô Xuân,F,2003-05-16,2018-10-01,,Active,01CN000057,MK001T,Band 4,1CN00783,0,E000303,HNO01,ARM,
E000147,Phạm Quý cô Thảo,F,1977-08-22,2014-10-01,,Active,01CN000023,M00108,Band 4,1CN00991,0,E001284,DAN01,RM,
E000148,Phạm Quý cô Hải,F,1979-10-10,2015-08-01,,Active,01CN000038,MJ043S,Band 4,1CN00041,0,E000484,KHO01,RM,
E000149,Vũ Quý cô Hà,F,1997-11-27,2007-08-01,,Active,01CN000061,M00110,Band 2,1CN00961,0,E000263,HCM29,RM,
E000150,Đặng Tấn,M,1970-09-15,2020-09-01,2021-09-01,Terminated,01QT000022,VE001S,Band 4,1QT00079,0,E000180,HSC01,BO,
E000151,Lê Hoàng,M,1985-05-02,2018-09-01,,Active,01CN000024,MJ044S,Band 3,1CN00829,0,E000795,HNO49,RM,
E000152,Phạm Thành Trí,M,1977-03-17,2010-08-01,,Active,01CN000008,MJ018S,Band 4,1CN01123,0,E001338,HCM29,RM,
E000153,Bùi Huy,M,1995-01-20,2019-01-01,2021-04-01,Terminated,01CN000020,MJ010S,Band 4,1CN01332,0,E000058,HPH01,BO,
E000154,Bùi Phương Mai,M,1998-03-22,2005-07-01,2022-09-01,Terminated,01CN000012,M00109,Band 3,1CN01162,0,E000793,HNO59,RM,
E000155,Bùi Trung,M,1999-10-28,2013-02-01,2021-07-01,Terminated,01CN000031,MJ029S,Band 4,1CN00662,0,E000880,BRV04,RM,
E000156,Bùi Nhiên,M,1975-09-17,2020-09-01,2021-05-01,Terminated,01CN000079,MJ043S,Band 4,1CN00283,0,E000669,BDU01,RM,
E000157,Vũ Linh,F,1981-09-26,2019-08-01,2021-08-01,Terminated,01CN000078,MK044S,Band 4,1CN00139,0,E001445,HSC01,BO,
E000158,Mai Quý cô Vân,F,1996-12-11,2020-01-01,,Active,01CN000079,M00108,Band 4,1CN00433,0,E000055,BDU01,RM,
E000159,Phạm Nhật,F,2000-01-17,2020-04-01,2021-11-01,Terminated,01CN000065,MJ163S,Band 4,1CN00840,0,E001717,HCM01,RM,
E000160,Nguyễn Kim Mai Bảo,M,1997-03-09,2020-01-01,,Active,01CN000083,MJ008C,Band 2,1CN00137,0,E000553,HCM12,BO,
E000161,Bùi Dương,F,1994-07-20,2020-06-01,2023-05-01,Terminated,01CN000068,MK090S,Band 4,1CN00427,0,E000314,HSC01,ARM,
E000162,Lê Nhật,F,1978-07-20,2020-10-01,2021-05-01,Terminated,01CN000010,MJ044S,Band 3,1CN00848,0,E000559,TDU01,RM,
E000163,Hoàng Thành,M,1994-11-09,2020-02-01,,Active,01CN000064,MH034M,Band 6,1CN00851,1,E001289,HSC01,BO,
E000164,Bùi Vũ,M,1971-01-04,2017-07-01,2021-06-01,Terminated,01CN000086,MJ111M,Band 7,1CN00367,1,E000733,HSC01,BO,
E000165,Nguyễn Bảo Xuân,M,1994-11-23,2019-09-01,2023-07-01,Terminated,01CN000053,MJ162E,Band 5,1CN00866,0,E000843,HCM01,RM,
E000166,Phạm Quý cô Thành,F,2000-02-04,2019-11-01,2023-07-01,Terminated,01CN000053,MK019E,Band 5,1CN00258,0,E000843,HCM01,BO,
E000167,Bùi Dũng,M,1992-06-28,2011-07-01,,Active,01CN000001,MJ011M,Band 5,1CN00533,1,E001086,HNO63,TL,
E000168,Trần Kim Đức,M,1999-08-11,2019-07-01,2022-05-01,Terminated,01QT000013,FA001S,Band 4,1QT00145,0,E001101,HSC01,BO,
E000169,Mai Yến,F,1975-10-19,2013-02-01,,Active,01CN000005,M00169,Band 4,1CN01252,0,,HSC01,BO,
E000170,Phạm Linh,F,1980-05-06,2018-12-01,,Active,01CN000070,MJ029S,Band 4,1CN01050,0,E000250,BNI01,RM,
E000171,Nguyễn Vi,F,1972-10-25,2020-07-01,2021-07-01,Terminated,01CN000080,M00108,Band 4,1CN00763,0,E001610,HNO02,RM,
E000172,Phạm Quang,M,1975-03-03,2020-02-01,,Active,01CN000038,AA052C,K,1CN01355,0,E001262,KHO01,BO,
E000173,Lê Trọng,M,2001-11-15,2019-12-01,2025-10-01,Terminated,01CN000072,M00107,Band 4,1CN00856,0,,HNO65,RM,
E000174,Dương Bảo,F,1991-03-19,2016-05-01,,Active,01QT000017,FA039S,Band 3,1QT00105,0,E000346,HSC01,BO,
E000175,Phạm Nhiên,M,1995-02-16,2019-09-01,2022-10-01,Terminated,01QT000012,FA034C,Band 2,1QT00001,0,,HSC01,BO,
E000176,Lê Quang,M,2003-09-25,2018-03-01,,Active,01CN000037,MJ011S,Band 4,1CN00087,0,E001817,HCM01,BO,
E000177,Vũ Phúc,M,1974-07-10,2018-07-01,,Active,01CN000029,MJ162E,Band 5,1CN00596,0,E000800,HCM01,RM,
E000178,Nguyễn Nhiên,M,1973-05-26,2014-01-01,,Active,01CN000078,MK006E,Band 5,1CN00630,0,E001445,HSC02,BO,
E000179,Bùi Khoa Hữu,M,1999-02-24,2018-06-01,2025-02-01,Terminated,01CN000041,MK015S,Band 3,1CN00737,0,E000899,HNO17,ARM,
E000180,Trần Vũ Hải,M,1980-06-22,2017-01-01,,Active,01QT000022,VE001M,Band 7,1QT00092,1,,HSC01,BO,
E000181,Hoàng Hải Đức,M,1986-11-12,2014-02-01,2023-11-01,Terminated,01CN000033,MJ029S,Band 4,1CN00585,0,E001658,HNO01,RM,
E000182,Mai Quang,M,1975-12-09,2015-02-01,,Active,01CN000012,MJ044S,Band 3,1CN00581,0,E000108,HNO59,RM,
E000183,Mai Vũ,M,1991-10-04,2020-02-01,,Active,01CN000031,M00107,Band 4,1CN00807,0,E001533,BRV04,RM,
E000184,Dương An Bảo,M,1989-01-21,2020-08-01,2021-10-01,Terminated,01CN000028,MK085S,Band 4,1CN00955,0,E000087,HNO01,BO,
E000185,Đặng Huy,M,1981-11-05,2018-10-01,,Active,01CN000073,MJ010S,Band 4,1CN01335,0,E001544,HNO34,BO,
E000186,Lê Huy,M,1971-11-22,2016-01-01,2021-05-01,Terminated,01CN000001,BA013M,Band 6,1CN00764,1,E000167,HNO63,HH,
E000187,Bùi Quý cô Nhật,F,1982-04-19,2019-10-01,,Active,01CN000002,MK061C,Band 2,1CN01340,0,E001684,HCM48,ARM,
